########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: HDV-EV (light)
#Subset: trn_freight_road : Light truck : BEV : million ton-km : Trn-Onroad;trn_freight_road : Light truck : FCEV : million ton-km : Trn-Onroad;
#Superset: trn_freight_road : Light truck : BEV : million ton-km : Trn-Onroad;trn_freight_road : Light truck : FCEV : million ton-km : Trn-Onroad;trn_freight_road : Light truck : Hybrid Liquids : million ton-km : Trn-Onroad;trn_freight_road : Light truck : Liquids : million ton-km : Trn-Onroad;trn_freight_road : Light truck : NG : million ton-km : Trn-Onroad;
#Applied to: New Purchases
#Treatment: Each Selected Region
#Constraint: Lower
#Policy name: HDV-EV-light_New_Reg_Ea
#Market name: HDV-EV-light_New_Reg_Ea_Mkt
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025 , 0.167
#Table data:2030 , 0.333
#Table data:2035 , 0.500
#Table data:2040 , 0.667
#Table data:2045 , 0.833
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
MO,MO_HDV-EV-light_New_Reg_Ea-2025,MO_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
MO,MO_HDV-EV-light_New_Reg_Ea-2030,MO_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
MO,MO_HDV-EV-light_New_Reg_Ea-2035,MO_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
MO,MO_HDV-EV-light_New_Reg_Ea-2040,MO_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
MO,MO_HDV-EV-light_New_Reg_Ea-2045,MO_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
MS,MS_HDV-EV-light_New_Reg_Ea-2025,MS_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
MS,MS_HDV-EV-light_New_Reg_Ea-2030,MS_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
MS,MS_HDV-EV-light_New_Reg_Ea-2035,MS_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
MS,MS_HDV-EV-light_New_Reg_Ea-2040,MS_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
MS,MS_HDV-EV-light_New_Reg_Ea-2045,MS_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
MT,MT_HDV-EV-light_New_Reg_Ea-2025,MT_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
MT,MT_HDV-EV-light_New_Reg_Ea-2030,MT_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
MT,MT_HDV-EV-light_New_Reg_Ea-2035,MT_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
MT,MT_HDV-EV-light_New_Reg_Ea-2040,MT_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
MT,MT_HDV-EV-light_New_Reg_Ea-2045,MT_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
NC,NC_HDV-EV-light_New_Reg_Ea-2025,NC_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
NC,NC_HDV-EV-light_New_Reg_Ea-2030,NC_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
NC,NC_HDV-EV-light_New_Reg_Ea-2035,NC_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
NC,NC_HDV-EV-light_New_Reg_Ea-2040,NC_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
NC,NC_HDV-EV-light_New_Reg_Ea-2045,NC_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
ND,ND_HDV-EV-light_New_Reg_Ea-2025,ND_HDV-EV-light_New_Reg_Ea_Mkt-2025,RES,2025,1
ND,ND_HDV-EV-light_New_Reg_Ea-2030,ND_HDV-EV-light_New_Reg_Ea_Mkt-2030,RES,2030,1
ND,ND_HDV-EV-light_New_Reg_Ea-2035,ND_HDV-EV-light_New_Reg_Ea_Mkt-2035,RES,2035,1
ND,ND_HDV-EV-light_New_Reg_Ea-2040,ND_HDV-EV-light_New_Reg_Ea_Mkt-2040,RES,2040,1
ND,ND_HDV-EV-light_New_Reg_Ea-2045,ND_HDV-EV-light_New_Reg_Ea_Mkt-2045,RES,2045,1
