ME,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
MN,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
MN,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
NJ,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
NJ,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
NY,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
NY,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
OR,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
OR,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
PA,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
PA,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
RI,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
RI,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
VT,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
VT,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
WA,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
WA,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
